method,n,norm_l2,l2,acc_at_0_1,recall,cosine,module,coverage,missing_query_vectors,indexed_kb_items,candidate_pool_size
TRR,46,0.24242677192212425,29.857414379518875,0.6988378351247259,0.5843326402130462,0.7738732724752042,0.5407608695652174,1.0,0,142,142
Wav2Vec,46,0.2595451788535512,30.571470341529107,0.6839814835672816,0.5539563198739691,0.7403287820458438,0.4850155279503106,1.0,0,137,142
FeatureNN,46,0.2634297732999523,34.432751550005584,0.6706126571636732,0.5658954368746186,0.7486581783622894,0.5338077984817116,1.0,0,137,142
CLAP,35,0.20652772980201287,31.866126655356027,0.7161760730218073,0.6233460661845889,0.8401851465374457,0.7370748299319728,0.7608695652173914,11,41,142
PaSST,0,,,,,,,0.0,46,0,142
PANNs,0,,,,,,,0.0,46,0,142
