acc_at_0_1,cosine,group,kb_size,method,module,n,norm_l2,pnr_at_10_t0_10,pnr_at_1_t0_10,pnr_at_5_t0_10,recall,switch_accuracy,switch_f1,switch_precision,switch_recall
0.7203589037454449,0.8537674834490254,0.000,1063,CLAP,0.7188709973392053,173,0.1896189877405707,0.8959537572254336,0.35260115606936415,0.7803468208092486,0.6361356223383958,0.7463070006422606,0.8124951269969971,0.8648362235067438,0.8272960822093769
0.7055110323663675,0.8434878760590584,0.000,1063,FeatureNN,0.692684018051665,204,0.20019461181548615,0.7009803921568627,0.24509803921568626,0.5686274509803921,0.6208119465636679,0.7434640522875816,0.789787405661108,0.8382197323373793,0.8115604575163399
0.7063463922179966,0.8462639591420537,0.000,1063,PaSST,0.7024684873949578,204,0.19595932952155184,0.7156862745098039,0.28431372549019607,0.6176470588235294,0.6255739314606212,0.7467320261437908,0.7970360345792871,0.8383831310301898,0.8282815904139433
0.7863009973357277,0.9009740296238867,0.000,1063,TRR,0.8050692499221911,204,0.14544972956836597,0.8333333333333334,0.46078431372549017,0.75,0.7045008141784845,0.8513071895424837,0.8629583443597283,0.9221541394335513,0.853526688453159
0.7085372996792207,0.8348797670932214,0.000,1063,Wav2Vec,0.6729302832244008,204,0.19968866718396522,0.7156862745098039,0.29411764705882354,0.5931372549019608,0.6227894459434105,0.7358387799564269,0.7692067432119334,0.8582224556489263,0.7788126361655774
0.6740183890997459,0.8320969834569131,0.005,599,CLAP,0.6816451050555097,173,0.21465027136134293,0.4682080924855491,0.20809248554913296,0.42196531791907516,0.6294481439479127,0.6994219653179191,0.79002597953635,0.750834938985228,0.9053789338471419
0.6559244548829012,0.807247780905523,0.005,599,FeatureNN,0.6410714285714285,204,0.2311801900905008,0.35294117647058826,0.15196078431372548,0.3137254901960784,0.599886765101948,0.6726579520697168,0.7533865708173667,0.7304582944288827,0.874005991285403
0.6475972724389802,0.8048584220933152,0.005,599,PaSST,0.6335550887021475,204,0.22927536831848927,0.3872549019607843,0.1715686274509804,0.3431372549019608,0.5952771448401196,0.6666666666666666,0.7461533036360026,0.7217709305944601,0.8803513071895425
0.7342323204561318,0.848235900807688,0.005,599,TRR,0.7252956738250855,204,0.19328496608360965,0.5245098039215687,0.25980392156862747,0.47058823529411764,0.6538258376828501,0.7984749455337689,0.8077387817872247,0.8371868191721132,0.8250136165577342
0.6608273504759501,0.8069035046693724,0.005,599,Wav2Vec,0.6266184251478368,204,0.22811962042079323,0.43137254901960786,0.16176470588235295,0.3284313725490196,0.6016641596008571,0.6851851851851851,0.7386189902625888,0.7569016495487084,0.8360838779956428
0.6367789204970163,0.8031047516822435,0.010,342,CLAP,0.6421254243508578,173,0.24224732231940896,0.4046242774566474,0.1329479768786127,0.31213872832369943,0.5692933954031889,0.6628131021194604,0.7573781634135255,0.7505619781631343,0.8596017983301221
0.6326790480489264,0.7819029169510899,0.010,342,FeatureNN,0.6022078275754745,204,0.2503042608558349,0.25980392156862747,0.12745098039215685,0.22058823529411764,0.5629287287384532,0.6388888888888888,0.721327616699589,0.7261418456271397,0.8287581699346405
0.6349843152244758,0.7712102617591364,0.010,342,PaSST,0.5874727668845315,204,0.2542049313866866,0.3137254901960784,0.14215686274509803,0.28431372549019607,0.5549572861636317,0.6454248366013071,0.7067572149752079,0.7442382508558979,0.7856072984749455
0.7254445693366744,0.8447406297811053,0.010,342,TRR,0.7233212729536258,204,0.19675186444976395,0.4215686274509804,0.24509803921568626,0.38235294117647056,0.6449208677702463,0.795751633986928,0.8054266475546751,0.827723311546841,0.832502723311547
0.6512237372378246,0.7868220219614114,0.010,342,Wav2Vec,0.5881847183317771,204,0.2417038388081958,0.3480392156862745,0.12254901960784313,0.25,0.5736522599563335,0.6579520697167757,0.7065567666346212,0.7657660286336756,0.7757897603485839
