Method,Param. Dist.,Cosine,Acc@0.1,N
TRR (Gram Matrix),13.569609649619647,0.9726590037345886,0.7342541797283177,5
MFCC Temporal,24.949612982751017,0.9993033535099723,0.6319444444444444,5
Modulation Spec,32.02052568659806,0.9982146408561986,0.6512416794674859,5
