variant,query_song,retrieved_song,l2,norm_l2,acc@0.1,recall,cosine,module,top3_oracle_norm_l2,top5_oracle_norm_l2
mean_pool_l5,Mexican Mariachi,Latin Jazz Nocturne,27.707070667560824,0.25259195028629167,0.4883720930232558,0.2608695652173913,0.49671216144437835,0.8,0.24388081199325828,0.01049509197397908
mean_pool_l5,Mathcore Dissonant Doom,Steamtrain Rhythm,231.80181023952474,0.4829240032537405,0.4375,0.125,0.0004960796720490486,0.3333333333333333,0.43630739294891835,0.064279454537426
mean_pool_l5,Doom/Stoner Fuzz - Wall of Gain Edit,Doom/Stoner Fuzz,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
mean_pool_l5,Soul Clap Groove,Bassline UK,190.9970738466677,0.41868172692514644,0.39622641509433965,0.28,0.00038021601895530305,0.5555555555555556,0.24697636700708672,0.24551282229412857
mean_pool_l5,Shoegaze Wall Echo,Chicago Soul Memphis,14.326244266078469,0.3913950830807433,0.46153846153846156,0.2,0.6200747380874977,0.5714285714285714,0.30947615085915514,0.30947615085915514
mean_pool_l5,Dubstep Wobble Neon,Future Bass Pluck Neon,0.0,0.0,1.0,1.0,0.9999999999999998,1.0,0.0,0.0
mean_pool_l5,Modular Hybrid Void,Japanese Enka Sahara,15.424842023072092,0.41632580616377884,0.5192307692307693,0.3076923076923077,0.5902941048095826,0.5714285714285714,0.41632580616377884,0.3691593834591802
mean_pool_l5,Future Bass Pluck Digital,Bluegrass Flatpick Honky,0.3199944424233305,0.1940059182840692,0.6590909090909091,0.4642857142857143,0.9997898544531442,0.8333333333333334,0.1940059182840692,0.1940059182840692
mean_pool_l5,Chamber Pop Radio,Moroccan Gnawa,27.173633929841323,0.2574623186289677,0.5348837209302325,0.28,0.5039656390429925,0.8,0.0,0.0
mean_pool_l5,Bossa Nova Acoustic Heritage,Latin Jazz Crescendo,0.14078149736382264,0.10608451203642194,0.717948717948718,0.6,0.9999638858145083,1.0,0.0,0.0
mean_pool_l5,Spectral Freeze Drift,Psychedelic Folk,29.467708263184743,0.45285682662501886,0.4166666666666667,0.15384615384615385,0.3336829255991332,0.6666666666666666,0.4265459542127554,0.4265459542127554
mean_pool_l5,Ethereal Female Vocals,Hauntology Library,3.6339508908243503,0.020599979073137462,0.9230769230769231,0.90625,0.9999158434059479,1.0,0.020599979073137462,0.020599979073137462
mean_pool_l5,Industrial Metal Aggressive,Industrial Metal - Palm Mute Crush,0.10298095417637633,0.031050251578536095,0.8974358974358975,0.8235294117647058,0.9999174853348609,1.0,0.031050251578536095,0.031050251578536095
mean_pool_l5,Spanky Funk,Country Twang,133.01094404798465,0.5149967970829801,0.25,0.043478260869565216,0.0008022433357039451,0.3333333333333333,0.5149967970829801,0.5149967970829801
mean_pool_l5,Drum and Bass Synth,Jazz Fusion Complex,2.6100381169179707,0.34654752575837233,0.49019607843137253,0.14285714285714285,0.9841375576439536,0.5,0.25480799765284334,0.25480799765284334
mean_pool_l5,UK Garage Cyber,Muted Trumpet Jazz,2.6270333158429913,0.3210383175765203,0.5294117647058824,0.21428571428571427,0.9839365181989514,0.5,0.20725347371676892,0.20725347371676892
