acc_at_0_1,cosine,k,max_wi,n_eff,n_queries,norm_l2,recall,switch_f1,temperature
0.7924067317014613,0.9117267977543932,3,0.7476584823617647,1.7071946979563721,204,0.13700720752148524,0.7126011043491789,0.8675346504066227,0.01
0.7872220882004102,0.917659380977391,3,0.46637010599117656,2.685706381764216,204,0.13564101708649048,0.706018035185163,0.8734269831155643,0.05
0.7828745528269859,0.9161956623237056,3,0.40002331642450983,2.8997994929676474,204,0.13696618314128298,0.7023885083456143,0.8754174762825282,0.1
0.7820014538992239,0.9143925202209798,3,0.3661954337039216,2.9732258820127453,204,0.13892058232437957,0.7011105256663749,0.8743745425406326,0.2
0.780875206671476,0.9139443991567804,3,0.3462920172352942,2.99569458084902,204,0.13920280998974058,0.6985376977287207,0.8743745425406326,0.5
0.7919812211313841,0.911248968037671,5,0.7084623257166666,2.065805862922059,204,0.13721602970375155,0.714267691958673,0.8622030763034223,0.01
0.7908410257039651,0.920719574920426,5,0.34381110934019615,4.212860291080392,204,0.13335066159460943,0.7145563996479742,0.882441520417299,0.05
0.7839318842560484,0.9165378547357729,5,0.26779128115196077,4.750512084459804,204,0.13708794937284147,0.7064055410328086,0.874647897917794,0.1
0.7817034778941762,0.9160657700112839,5,0.23218313431764706,4.934567438044118,204,0.1376431476633051,0.7044871105298359,0.8744406657036415,0.2
0.7816078128475308,0.915839288177936,5,0.21239658814607842,4.9896969752107845,204,0.13781159628923245,0.70427697126358,0.8744406657036415,0.5
0.7930255393048182,0.9117795218183042,10,0.6823343149470588,2.5382690917073534,204,0.13671248340017536,0.7155541717433109,0.8622030763034223,0.01
0.7906339103251128,0.9257911431228834,10,0.24003789756715688,7.590035982281372,204,0.13067310956702266,0.7156377853439326,0.892384832263725,0.05
0.7889111083197623,0.9275665075230128,10,0.16020001689901958,9.223344325377452,204,0.1309420212802576,0.7135234825406458,0.8976623210187223,0.1
0.7866178995561434,0.9271844641111395,10,0.1270544400397059,9.795950794862256,204,0.13247048416985938,0.7103114937911602,0.8976885347127562,0.2
0.7851224904626949,0.9272286138261293,10,0.11008646849509805,9.967304433245097,204,0.1325498787107481,0.7084840842292098,0.8976885347127562,0.5
0.7930255393048182,0.9117795218183042,20,0.6823343149470588,2.5382690917073534,204,0.13671248340017536,0.7155541717433109,0.8622030763034223,0.01
0.7906339103251128,0.9257911431228834,20,0.24003789756715688,7.590035982281372,204,0.13067310956702266,0.7156377853439326,0.892384832263725,0.05
0.7889111083197623,0.9275665075230128,20,0.16020001689901958,9.223344325377452,204,0.1309420212802576,0.7135234825406458,0.8976623210187223,0.1
0.7866178995561434,0.9271844641111395,20,0.1270544400397059,9.795950794862256,204,0.13247048416985938,0.7103114937911602,0.8976885347127562,0.2
0.7851224904626949,0.9272286138261293,20,0.11008646849509805,9.967304433245097,204,0.1325498787107481,0.7084840842292098,0.8976885347127562,0.5
