query_idx,query_name,method,retrieved_name,l2,acc@0.1,recall,cosine,module,missing,hard_subset_mode,candidate_pool_size
6,Futurebass Vocal Chop,PANNs,,,,,,,1,none,1064
6,Futurebass Vocal Chop,TRR,Hip Hop Scratch,10.993256098801938,0.34615384615384615,0.34615384615384615,0.9988411777490188,1.0,0,none,1064
7,Western Swing Outlaw,Text-RAG,Western Swing,54.72406458357167,0.23076923076923078,0.2631578947368421,0.14781513726537093,0.5555555555555556,0,none,1064
7,Western Swing Outlaw,Wav2Vec-RAG,Britpop Charm,0.0,1.0,1.0,1.0,1.0,0,none,1064
7,Western Swing Outlaw,FeatureNN-RAG,Americana Alt Sunrise,0.15705607885326156,0.42857142857142855,0.42105263157894735,0.9750693965088599,1.0,0,none,1064
7,Western Swing Outlaw,CLAP,Country Telecaster Honky,0.16570082621859133,0.42857142857142855,0.42105263157894735,0.9694486451892353,1.0,0,none,1064
7,Western Swing Outlaw,PaSST,,,,,,,1,none,1064
7,Western Swing Outlaw,PANNs,,,,,,,1,none,1064
7,Western Swing Outlaw,TRR,Country Telecaster Honky,0.16570082621859133,0.42857142857142855,0.42105263157894735,0.9694486451892353,1.0,0,none,1064
8,Acid Jazz Funk Smoky,Text-RAG,Acid Jazz Funk Velvet,0.14291789017940804,0.6666666666666666,0.6470588235294118,0.9744641500777089,1.0,0,none,1064
8,Acid Jazz Funk Smoky,Wav2Vec-RAG,West Coast Hip Hop,56.38112888679701,0.23076923076923078,0.23529411764705882,0.1365119914406722,0.5555555555555556,0,none,1064
8,Acid Jazz Funk Smoky,FeatureNN-RAG,Deep House Wave,0.4412762669910131,0.38095238095238093,0.4117647058823529,0.9826514892205779,0.8333333333333334,0,none,1064
8,Acid Jazz Funk Smoky,CLAP,Bubblegum Bass,62.17031560884554,0.23076923076923078,0.29411764705882354,0.1313880129828485,0.5555555555555556,0,none,1064
8,Acid Jazz Funk Smoky,PaSST,,,,,,,1,none,1064
8,Acid Jazz Funk Smoky,PANNs,,,,,,,1,none,1064
8,Acid Jazz Funk Smoky,TRR,Chicago Soul Philly,0.16939196725768482,0.5714285714285714,0.6470588235294118,0.9647100734243962,1.0,0,none,1064
9,Dubstep Wobble Digital,Text-RAG,Dubstep Wobble,55.02851542068893,0.23076923076923078,0.23529411764705882,0.06232751225993299,0.6666666666666666,0,none,1064
9,Dubstep Wobble Digital,Wav2Vec-RAG,Tibetan Singing Bowl,39.65394176679395,0.09523809523809523,0.11764705882352941,0.05366944516798805,0.6666666666666666,0,none,1064
9,Dubstep Wobble Digital,FeatureNN-RAG,Memphis Rap,42.347513226203276,0.15384615384615385,0.17647058823529413,0.05713607109402671,0.6666666666666666,0,none,1064
9,Dubstep Wobble Digital,CLAP,Nu Metal 7-String Wrath,0.8285906522718308,0.4838709677419355,0.29411764705882354,0.27386097527739856,0.2857142857142857,0,none,1064
9,Dubstep Wobble Digital,PaSST,,,,,,,1,none,1064
9,Dubstep Wobble Digital,PANNs,,,,,,,1,none,1064
9,Dubstep Wobble Digital,TRR,Glitch Noise Void,1.3261694350557893,0.2857142857142857,0.23529411764705882,0.9547000569463078,0.7142857142857143,0,none,1064
10,Western Swing Dusty,Text-RAG,Western Swing,54.73411375619554,0.19230769230769232,0.2222222222222222,0.15741345800175446,0.5555555555555556,0,none,1064
10,Western Swing Dusty,Wav2Vec-RAG,Desert Rock Fuzz,60.39906000707042,0.3076923076923077,0.3333333333333333,0.14963345470429743,0.5555555555555556,0,none,1064
10,Western Swing Dusty,FeatureNN-RAG,IDM Glitch,61.98972918903582,0.3076923076923077,0.3888888888888889,0.15265224255427046,0.5555555555555556,0,none,1064
10,Western Swing Dusty,CLAP,Soft Grunge,58.030891793337105,0.34615384615384615,0.3888888888888889,0.15090855213674634,0.5555555555555556,0,none,1064
10,Western Swing Dusty,PaSST,,,,,,,1,none,1064
10,Western Swing Dusty,PANNs,,,,,,,1,none,1064
10,Western Swing Dusty,TRR,Synth Pop Charm,0.16773978430323336,0.47619047619047616,0.5,0.9815973286089882,1.0,0,none,1064
11,UK Garage Neon,Text-RAG,UK Garage Cyber,0.09686913115863366,0.7619047619047619,0.75,0.9953837785881814,1.0,0,none,1064
