layer,method,project_dim,norm_l2_mean,norm_l2_ci_lower,norm_l2_ci_upper,improvement_vs_mean,wilcoxon_p,n_queries
5,mean_pool,0,0.2581547176117155,0.23125461962944846,0.2846120216798403,0.0,nan,204
5,gram,64,0.2457349643112767,0.21937782665440866,0.2721110162390869,0.01241975330043879,0.5861027382537152,204
4+5+6,mean_pool,0,0.2552369486535654,0.2285334201432194,0.2818472879784761,0.0,nan,204
4+5+6,gram,64,0.2545562448192407,0.2276949453938751,0.2808750101028929,0.0006807038343246696,0.7674621337924015,204
4,gram,64,0.2527806397599191,0.22713844107229902,0.27880736787570837,nan,nan,204
6,gram,64,0.2529158127568269,0.22782904852314653,0.2783901139841475,nan,nan,204
