query_idx,w_text,w_audio,u_text_norm,u_audio_norm,category,text_distance,audio_distance,fused_distance,improvement
19,0.5133255364038738,0.4866744635961263,0.9727354965636543,0.9993928819670165,balanced,0.0248791746915635,0.30426368654898817,0.0248791746915635,0.0
11,0.5076361258424835,0.4923638741575164,0.9742170724711515,0.9894905116974839,balanced,0.03500579118755447,0.026686942812294303,0.03500579118755447,0.0
45,0.49952197066675674,0.5004780293332433,0.9999898772049663,0.9990338182471851,balanced,0.2587771911638788,0.01959916178965679,0.01959916178965679,0.23917802937422203
9,0.5048656653776388,0.4951343346223611,0.9900343683992392,0.9997660063537479,balanced,63.41080093952104,0.38376112850313543,0.38376112850313543,63.0270398110179
26,0.4989461767315401,0.5010538232684599,0.9999898772049663,0.9978822275471941,balanced,66.90641434533762,57.69614177432558,57.69591815937531,9.210496185962313
30,0.5016850116967558,0.4983149883032441,0.9961801438009564,0.9995501799524051,balanced,0.026531998098087595,0.025224995235190523,0.025224995235190523,0.0013070028628970713
3,0.516374495401887,0.4836255045981129,0.9666856512279686,0.9994463572963136,balanced,0.031677662251408105,0.39112123151516015,0.031677662251408105,0.0
7,0.5121742669843268,0.48782573301567317,0.9666856512279686,0.991038998594016,balanced,0.027044707254399898,0.027044707254399898,0.027044707254399898,0.0
4,0.4974630039268896,0.5025369960731104,0.9999898772049663,0.9949158415140934,balanced,92.12393271557876,28.1919144039332,79.44129475246937,12.682637963109386
49,0.502610173041857,0.4973898269581431,0.9898842326215781,0.9951046261277143,balanced,64.06572532930277,65.89148218198869,64.06572532930277,0.0
40,0.499129715688737,0.5008702843112631,0.9999898772049663,0.9982493068247069,balanced,0.2581533833466711,0.020927266333433905,0.030035479020651557,0.22811790432601953
38,0.49728666080351575,0.5027133391964841,0.9961801438009564,0.9907534121372551,balanced,0.02182799014673944,0.4307444002344468,0.02182799014673944,0.0
29,0.4973849931447349,0.5026150068552651,0.9999898772049663,0.9947598158080563,balanced,63.118210690245924,63.118304047342384,54.429426105144486,8.688784585101438
12,0.5055275576737769,0.49447244232622306,0.9862673683939458,0.997322934143622,balanced,0.03177664841696468,0.44308581279476783,0.03177664841696468,0.0
21,0.49447597565635354,0.5055240243436465,0.9999898772049663,0.9889413789787604,balanced,63.17396291015621,63.17406738597402,63.17396291015621,0.0
20,0.5047655605109382,0.4952344394890618,0.9900343683992392,0.9995657780463972,balanced,0.3974281121760542,66.25649507511672,66.25643176071598,-65.85900364853993
34,0.5043125974043374,0.49568740259566246,0.9882691309305438,0.9968945396363056,balanced,0.02610635438222722,0.3535111049646578,0.02610635438222722,0.0
1,0.4996665225689801,0.50033347743102,0.9999898772049663,0.9993229222440329,balanced,93.81375131624655,95.47445420070677,95.47445420070677,-1.6607028844602212
22,0.5028289627390627,0.49717103726093725,0.9934435979817624,0.9991015838351119,balanced,0.031623821510951534,0.44305269848671913,0.031623821510951534,0.0
24,0.4995742478395786,0.5004257521604214,0.9999898772049663,0.9991383726783264,balanced,0.25583245168143415,91.46804479506179,91.46804479506179,-91.21221234338036
28,0.5056457122092967,0.4943542877907033,0.9855300013708116,0.9968219056975989,balanced,64.34377184043105,61.25414375055067,64.34377184043105,0.0
15,0.503594979072299,0.4964050209277011,0.9862673683939458,0.9934574504385427,balanced,0.03000317290913387,0.05900127443212887,0.03000317290913387,0.0
36,0.49727809622069197,0.502721903779308,0.9961801438009564,0.9907362824655646,balanced,0.03050854861283209,0.4248189702685133,0.03050854861283209,0.0
44,0.49495748636903003,0.50504251363097,0.9999898772049663,0.9899045080135993,balanced,66.79496434991601,66.79503413269015,66.79496434991601,0.0
6,0.4996939340825559,0.500306065917444,0.9999898772049663,0.9993777452936219,balanced,0.4218148505268633,88.36697360428272,88.36697360428272,-87.94515875375586
37,0.5047843889640256,0.49521561103597433,0.9899675581535327,0.999536628141551,balanced,0.5637826246223666,53.292587338614425,61.799840658139075,-61.236058033516706
8,0.4989504557298266,0.5010495442701736,0.9999898772049663,0.9978907855816291,balanced,0.2594977520776111,91.46805601611887,91.46805601611887,-91.20855826404126
16,0.4988299758138834,0.5011700241861167,0.9999898772049663,0.9976498245614862,balanced,0.02683908602135212,0.251278612964441,0.25440486630565856,-0.22756578028430643
31,0.5011838051599271,0.4988161948400729,0.9947152353512858,0.9970828500950969,balanced,0.03311733801082261,0.19814859614402056,0.03311733801082261,0.0
2,0.5194250037204315,0.4805749962795685,0.9609718850030987,0.9998414559011722,balanced,0.025055908912441627,63.79970519244681,0.025055908912441627,0.0
