Method,Param. Dist.,Cosine,Acc@0.1,N
TRR (Gram Matrix),32.0016558163145,0.8856886208057404,0.6923402898735393,30
MFCC Temporal,31.18506041051094,0.99975766531258,0.6836784295654961,30
Modulation Spec,32.49531836927996,0.9970994711351406,0.6620867794136098,30
