condition,fixed_method,n,delta_l2_adaptive_minus_fixed,delta_acc_adaptive_minus_fixed,delta_cosine_adaptive_minus_fixed,delta_module_adaptive_minus_fixed,delta_recall@k_adaptive_minus_fixed,delta_mrr_adaptive_minus_fixed,delta_ndcg@k_adaptive_minus_fixed
awgn_10db,fixed_fusion_a0.00,201,-31.257762397916437,0.197788729310678,0.2512289681517807,0.1907920713890864,0.021608137463073784,0.43781094527363185,0.4785295690296873
awgn_10db,fixed_fusion_a0.30,201,-25.303278411955862,0.09416149841539534,0.1346802283047112,0.09338032061912657,0.009940397524995424,0.18308457711442788,0.22092472761565227
awgn_10db,fixed_fusion_a0.50,201,-1.1161600402095384,0.0012482477641861365,0.009579059754039504,0.004836926478717523,0.00012403959265180558,0.006218905472636816,0.005041190212612128
awgn_10db,fixed_fusion_a0.70,201,3.9771752165806054,-0.012637898439951467,-0.025527867808186736,-0.013492063492063493,-0.00018261179975970508,-0.011194029850746268,-0.0065024874229640695
awgn_10db,fixed_fusion_a1.00,201,4.643226764435443,-0.013303173648304214,-0.03061968396225371,-0.00769564874042486,-0.00020873107347113955,-0.022139303482587067,-0.008139857274247285
awgn_20db,fixed_fusion_a0.00,201,-52.074851925199724,0.19940704719976232,0.29010261117936764,0.19785990681513077,0.021434177209888446,0.4456053067993367,0.4778389209994339
awgn_20db,fixed_fusion_a0.30,201,-27.042905601299466,0.08510068150926675,0.13668502792535292,0.0978026533996683,0.008984333273362864,0.17122719734660036,0.19789037134885482
awgn_20db,fixed_fusion_a0.50,201,-1.2613445842299444,-1.0423084036950015e-05,0.01392645393463368,0.011197978362157466,0.00031081884169149995,0.010613598673300167,0.009025652936969525
awgn_20db,fixed_fusion_a0.70,201,0.9543240043195546,-0.00842635634519016,-0.010492879670499052,-0.0007304746110716253,-0.00022169468586584893,-0.008706467661691543,-0.006662488583450827
awgn_20db,fixed_fusion_a1.00,201,3.3381838289663595,-0.012338618474443298,-0.01973075726139511,-0.0010858406380794433,-0.0001601732068988871,-0.017164179104477612,-0.005755790517316588
awgn_5db,fixed_fusion_a0.00,201,-27.092452992011022,0.2100817926780961,0.31053823973001177,0.2192253020611229,0.021508894022497966,0.43822553897180766,0.4790613942770801
awgn_5db,fixed_fusion_a0.30,201,-27.6453121456414,0.11077766822094025,0.17343198466988113,0.10862947168917315,0.01049951958116035,0.2005804311774461,0.23585219169434027
awgn_5db,fixed_fusion_a0.50,201,-4.936399838755806,0.010846177379718935,0.0387613232924401,0.022889520650714684,0.0004315445250917946,0.021144278606965175,0.015018395893579003
awgn_5db,fixed_fusion_a0.70,201,0.1500740375120305,-0.007271335629544583,-0.009852413668315983,0.0,-4.361310331459587e-05,-0.004975124378109453,-0.002648933908447263
awgn_5db,fixed_fusion_a1.00,201,2.4795313851693734,-0.009171083006940832,-0.015074465822591525,-0.006850667298428492,-0.00011537532651259363,-0.013432835820895524,-0.003362620507214539
mp3_128k,fixed_fusion_a0.00,201,-54.82894070638872,0.23715952194741632,0.2949689401639877,0.1935264155413409,0.02129757354683344,0.42868988391376456,0.47006182864046
mp3_128k,fixed_fusion_a0.30,201,-32.61820110880991,0.10810412479344828,0.16555794480807282,0.10964621337755666,0.00880617688313324,0.17620232172470982,0.19680969272535273
mp3_128k,fixed_fusion_a0.50,201,-1.1667081896175517,7.806079916458224e-05,0.004950106482051651,0.0016583747927031507,0.0001776900964590834,0.0024875621890547263,0.0028219555391356703
mp3_128k,fixed_fusion_a0.70,201,1.1135373550043413,-0.0034805572669947596,-0.009343762251979469,-0.003869541182974018,-4.5627365916574725e-05,-0.004560530679933665,-0.002407105325444627
mp3_128k,fixed_fusion_a1.00,201,3.668539462132982,-0.004930216775700854,-0.011888295989884022,-0.0005922767116796963,-0.00025266025337744385,-0.017164179104477612,-0.0064824987254892595
mp3_32k,fixed_fusion_a0.00,201,-61.63767026221723,0.23933014936202132,0.31699277110114027,0.19958145779041297,0.021520572513327726,0.4334162520729685,0.4753988053671092
mp3_32k,fixed_fusion_a0.30,201,-33.09485874772513,0.10924359094937633,0.16992212305760074,0.11440022111663903,0.008755927883819285,0.18076285240464346,0.19729457235052275
mp3_32k,fixed_fusion_a0.50,201,-2.1635235254579888,0.01259649374112387,0.020035791041418883,0.009298744373371238,-4.764549515446358e-05,0.007877280265339967,0.001644336939352633
mp3_32k,fixed_fusion_a0.70,201,0.284496935205252,0.00046619226075717224,-5.053163027980583e-06,0.0011055831951354343,8.884150675195454e-05,0.0024875621890547263,0.0028259191161119817
mp3_32k,fixed_fusion_a1.00,201,3.989494424339451,-0.002619221096476113,-0.004626795383371163,0.004382847666429757,-0.00011859884380294485,-0.012603648424543949,-0.0026349985931046855
mp3_64k,fixed_fusion_a0.00,201,-55.62794196506263,0.22694558681688584,0.28654590641051025,0.19698531153755028,0.021298055424886768,0.4222222222222223,0.46801566195761796
mp3_64k,fixed_fusion_a0.30,201,-31.272604041322058,0.09300780365166335,0.14645535585390948,0.10721393034825871,0.008669638132792685,0.16666666666666666,0.1920955171425258
mp3_64k,fixed_fusion_a0.50,201,-1.1002481901710435,-0.007264051367661225,-0.008876348639901508,0.00538971807628524,0.00013287623907092932,-0.004145936981757877,0.0015064606414426206
mp3_64k,fixed_fusion_a0.70,201,0.9968258680750287,0.0028978073203250534,0.0005364881734244028,-0.003869541182974018,-9.04412233047288e-05,0.0,-0.0007997411307447603
mp3_64k,fixed_fusion_a1.00,201,3.8732357922100626,-0.014875595696736812,-0.025941595610624455,-0.0005922767116796963,-0.0003427025142029566,-0.02504145936981758,-0.009877215833646813
reverb_rt60_0.6,fixed_fusion_a0.00,201,-68.85307898631594,0.2502105632796065,0.3301702101550512,0.18925610045013033,0.02158820738269004,0.43524046434494196,0.4759336793463374
reverb_rt60_0.6,fixed_fusion_a0.30,201,-27.96604679175152,0.10274835074281975,0.15751441027880597,0.10486851457000711,0.009618353434966895,0.16376451077943618,0.20981074921504683
reverb_rt60_0.6,fixed_fusion_a0.50,201,-1.4089605057245986,0.008280279866241878,0.015401487950223593,0.007822001105583195,0.0005470283725965789,0.009701492537313432,0.011034845735955045
reverb_rt60_0.6,fixed_fusion_a0.70,201,1.1773245821705645,-0.001132296153597065,-0.005003032359391804,-0.0022506515043828473,4.8965329666282774e-05,-0.0024875621890547263,0.0009146240808831135
reverb_rt60_0.6,fixed_fusion_a1.00,201,3.0576265657570962,-0.005612414251395556,-0.0039024209812102027,0.0022901366184948277,0.0001133028628295656,-0.00912106135986733,0.001318544768732176
reverb_rt60_1.0,fixed_fusion_a0.00,201,-67.07303617431008,0.24613511118618225,0.31729050505296713,0.18015280739161335,0.021400657902627854,0.4300995024875622,0.4728898839216739
reverb_rt60_1.0,fixed_fusion_a0.30,201,-26.513618840501884,0.10035918038746602,0.14655916667089872,0.10575298112611548,0.00957108671442936,0.16301824212271973,0.21098536430373682
reverb_rt60_1.0,fixed_fusion_a0.50,201,-2.5299539805779894,0.007489832159536344,0.01538220593134829,0.008595909342178,0.00022325155512003574,0.007462686567164179,0.006434595315790766
reverb_rt60_1.0,fixed_fusion_a0.70,201,0.9688802890709756,-0.0059454564892865765,-0.009921888036721406,-0.0011055831951354337,-0.0002706600155321317,-0.00472636815920398,-0.004232344689492266
reverb_rt60_1.0,fixed_fusion_a1.00,201,2.8473860426644646,-0.007236392293425161,-0.008821276397552338,0.0028429282160625444,-2.9425676889293413e-05,-0.011359867330016586,0.0003439545954246395
truncate_30,fixed_fusion_a0.00,201,-57.33814045993524,0.24259602227149116,0.28228795736861984,0.2012042959804153,0.021776395279263477,0.4567164179104477,0.48610454666812314
truncate_30,fixed_fusion_a0.30,201,-21.96063609184264,0.09665179242113453,0.1134954408674571,0.08922056384742952,0.009077423464153366,0.17645107794361525,0.2018608998970734
truncate_30,fixed_fusion_a0.50,201,-4.015023811734433,0.016162378923135712,0.025187638778638968,0.010033167495854063,0.0003657062941230893,0.015422885572139302,0.011768522171400874
truncate_30,fixed_fusion_a0.70,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
