condition,method,n,alpha_mean,l2_mean,l2_std,acc_mean,recall_mean,cosine_mean,module_mean,recall@k_mean,mrr_mean,ndcg@k_mean
awgn_10db,adaptive_fusion,201,0.5499999999999982,67.06838842734942,89.99109986118083,0.6702293440030774,0.5646560540269264,0.6228262491818932,0.7914692410961064,0.024968432792108676,0.5563847429519071,0.5460681640999379
awgn_10db,fixed_fusion_a0.00,201,0.0,98.32615082526587,84.19114538288021,0.47244061469239995,0.25929230309680995,0.37159728103011264,0.6006771697070203,0.0033602953290348754,0.11857379767827526,0.06753859507025044
awgn_10db,fixed_fusion_a0.30,201,0.29999999999999893,92.37166683930529,93.03290525585149,0.5760678455876822,0.43054279492115854,0.4881460208771821,0.6980889204769802,0.01502803526711324,0.3733001658374793,0.3251434364842856
awgn_10db,fixed_fusion_a0.50,201,0.5,68.18454846755897,90.34379340802177,0.6689810962388916,0.5630394561716848,0.6132471894278536,0.7866323146173887,0.024844393199456877,0.5501658374792703,0.5410269738873257
awgn_10db,fixed_fusion_a0.70,201,0.7000000000000008,63.091213210768835,89.69668641527055,0.6828672424430289,0.5806307984617681,0.6483541169900802,0.8049613045881698,0.025151044591868385,0.5675787728026533,0.5525706515229019
awgn_10db,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
awgn_20db,adaptive_fusion,201,0.5499999999999982,65.76334549188034,89.14280274655184,0.6711938991769385,0.5683366597757078,0.6337151758827518,0.7980790491984517,0.02501699065868093,0.5613598673300165,0.5484522308568686
awgn_20db,fixed_fusion_a0.00,201,0.0,117.83819741708008,93.83290279255318,0.4717868519771764,0.2563335769078475,0.3436125647033842,0.6002191423833214,0.0035828134487924613,0.1157545605306799,0.0706133098574345
awgn_20db,fixed_fusion_a0.30,201,0.29999999999999893,92.80625109317982,94.6214513908278,0.5860932176676715,0.4375973301071592,0.4970301479573989,0.7002763957987839,0.01603265738531805,0.3901326699834163,0.35056185950801366
awgn_20db,fixed_fusion_a0.50,201,0.5,67.02469007611029,88.8373008152989,0.6712043222609756,0.5639669188201459,0.6197887219481182,0.7868810708362942,0.024706171816989433,0.5507462686567164,0.539426577919899
awgn_20db,fixed_fusion_a0.70,201,0.7000000000000008,64.80902148756081,89.50561395334724,0.6796202555221286,0.5722236494590673,0.6442080555532511,0.7988095238095235,0.025238685344546784,0.5700663349917081,0.5551147194403193
awgn_20db,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
awgn_5db,adaptive_fusion,201,0.6800000000000034,64.90469304808337,89.463625330376,0.6743614346444408,0.5683958687705457,0.6383714673215556,0.7923142225381029,0.025061788539067226,0.5650912106135987,0.5508454008669706
awgn_5db,fixed_fusion_a0.00,201,0.0,91.99714604009438,77.13252630941255,0.4642796419663456,0.24810303189567368,0.32783322759154393,0.5730889204769801,0.003552894516569238,0.12686567164179102,0.07178400658989038
awgn_5db,fixed_fusion_a0.30,201,0.29999999999999893,92.5500051937248,90.64876039532807,0.5635837664235007,0.4098655157867088,0.4649394826516746,0.68368475084893,0.014562268957906856,0.36451077943615257,0.3149932091726303
awgn_5db,fixed_fusion_a0.50,201,0.5,69.84109288683915,89.95608156871825,0.663515257264722,0.5516589484083851,0.5996101440291154,0.769424701887388,0.02463024401397543,0.5439469320066336,0.5358270049733915
awgn_5db,fixed_fusion_a0.70,201,0.7000000000000008,64.75461901057133,89.56155026164208,0.6816327702739853,0.5764261518227779,0.6482238809898716,0.7923142225381029,0.025105401642381828,0.5700663349917081,0.5534943347754179
awgn_5db,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
mp3_128k,adaptive_fusion,201,0.5499999999999982,66.09370112504695,90.36008336761321,0.678602300875681,0.5760935154975501,0.6415576371542633,0.7985726131248515,0.02492450361220237,0.5613598673300165,0.5477255226486958
mp3_128k,fixed_fusion_a0.00,201,0.0,120.92264183143577,88.12218352352754,0.4414427789282653,0.2534981075564603,0.34658869699027545,0.6050461975835112,0.00362693006536892,0.13266998341625205,0.07766369400823586
mp3_128k,fixed_fusion_a0.30,201,0.29999999999999893,98.71190223385686,95.56004806813212,0.5704981760822329,0.4255631457165505,0.4759996923461905,0.6889263997472954,0.016118326729069116,0.38515754560530685,0.3509158299233431
mp3_128k,fixed_fusion_a0.50,201,0.5,67.26040931466451,90.93175587991716,0.6785242400765165,0.5769057763515143,0.6366075306722115,0.7969142383321484,0.024746813515743284,0.5588723051409619,0.54490356710956
mp3_128k,fixed_fusion_a0.70,201,0.7000000000000008,64.98016377004264,90.17269324013058,0.6820828581426756,0.5781441980001449,0.6509013994062426,0.8024421543078255,0.024970130978118947,0.5659203980099502,0.5501326279741404
mp3_128k,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
mp3_32k,adaptive_fusion,201,0.6500000000000025,66.41465608725342,91.31932869670145,0.6809132965549057,0.5793470765985747,0.6488191377607759,0.803547737502961,0.025058565021776873,0.5659203980099502,0.5515730227810803
mp3_32k,fixed_fusion_a0.00,201,0.0,128.05232634947075,87.00805790607764,0.44158314719288494,0.25658724689241863,0.33182636665963566,0.6039662797125485,0.003537992508449134,0.13250414593698173,0.07617421741397119
mp3_32k,fixed_fusion_a0.30,201,0.29999999999999893,99.50951483497855,96.3045856855003,0.5716697056055297,0.425175450382869,0.4788970147031756,0.6891475163863225,0.01630263713795757,0.38515754560530685,0.35427845043055767
mp3_32k,fixed_fusion_a0.50,201,0.5,68.57817961271142,91.65945691262418,0.668316802813782,0.5654542879452854,0.6287833467193573,0.7942489931295899,0.025106210516931335,0.5580431177446104,0.5499286858417278
mp3_32k,fixed_fusion_a0.70,201,0.7000000000000008,66.13015915204817,91.04973469379533,0.6804471042941485,0.5777736356806954,0.648824190923804,0.8024421543078255,0.02496972351502492,0.5634328358208955,0.5487471036649684
mp3_32k,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
mp3_64k,adaptive_fusion,201,0.5499999999999982,66.29839745512405,90.19010965857744,0.668656921954645,0.5658322437481309,0.6275043375335227,0.7985726131248515,0.024834461351376857,0.5534825870646766,0.5443308055405383
mp3_64k,fixed_fusion_a0.00,201,0.0,121.92633942018678,87.8906760630457,0.44171133513775984,0.2528656645677838,0.3409584311230124,0.6015873015873017,0.0035364059264900776,0.1312603648424544,0.07631514358292035
mp3_64k,fixed_fusion_a0.30,201,0.29999999999999893,97.57100149644612,96.13571781960536,0.5756491183029818,0.4310952138825081,0.4810489816796134,0.6913586827765934,0.01616482321858416,0.38681592039800994,0.35223528839801244
mp3_64k,fixed_fusion_a0.50,201,0.5,67.39864564529508,90.80049287676121,0.6759209733223063,0.5740850812920133,0.6363806861734244,0.7931828950485664,0.02470158511230593,0.5576285240464345,0.5428243448990956
mp3_64k,fixed_fusion_a0.70,201,0.7000000000000008,65.30157158704904,89.92957884463173,0.6657591146343198,0.5620496706369608,0.6269678493600983,0.8024421543078255,0.024924902574681593,0.5534825870646766,0.545130546671283
mp3_64k,fixed_fusion_a1.00,201,1.0,62.42516166291399,89.66043676300092,0.6835325176513817,0.5759174163275935,0.6534459331441471,0.7991648898365312,0.02517716386557982,0.5785240464344942,0.5542080213741851
reverb_rt60_0.6,adaptive_fusion,201,0.6500000000000025,65.48278822867107,90.86669628807279,0.6779201033999862,0.5739024015910202,0.6495435121629368,0.8014550264550261,0.025290466728409382,0.5694029850746268,0.5555265661429173
reverb_rt60_0.6,fixed_fusion_a0.00,201,0.0,134.33586721498713,79.51970580410146,0.42770954012038004,0.2581749200407667,0.3193733020078857,0.6121989260048964,0.003702259345719327,0.13416252072968488,0.07959288679657986
