method,n,alpha_mean,l2_mean,acc_mean,recall_mean,cosine_mean,module_mean,recall@k_mean,mrr_mean,ndcg@k_mean
adaptive_fusion,2010,0.5979999999999877,66.13812061002056,0.6748424660227319,0.5712319354685454,0.6376547837722215,0.7980529890231428,0.02511508058944973,0.5634660033167498,0.5513950369050384
fixed_fusion_a0.00,2010,0.0,119.45656763881486,0.4482719061273363,0.25880797928331173,0.3366270198618636,0.5985441838426913,0.003633161106525391,0.13009950248756222,0.07607439845267201
fixed_fusion_a0.30,2010,0.29999999999999993,93.62110230888838,0.5769703666503387,0.43295467303490254,0.491415180195561,0.6960437889915537,0.015834108164171124,0.3899917081260369,0.34578398326074455
fixed_fusion_a0.50,2010,0.5,68.28624261099542,0.6683243146618799,0.5624918868043022,0.6214377897258423,0.7885718234225748,0.024870365430410973,0.5542122719734662,0.5440939703876517
fixed_fusion_a0.70,2010,0.700000000000026,64.95336687547069,0.6794552116181624,0.5753162204196344,0.6463294434954918,0.8009148700939789,0.025168384922050608,0.5671890547263683,0.5531208855660905
fixed_fusion_a1.00,2010,1.0,62.42516166291394,0.6835325176513802,0.5759174163275916,0.6534459331441476,0.7991648898365361,0.02517716386557951,0.5785240464344943,0.5542080213741849
