condition,fixed_method,n,delta_l2_adaptive_minus_fixed,delta_acc_adaptive_minus_fixed,delta_cosine_adaptive_minus_fixed,delta_module_adaptive_minus_fixed,delta_recall@k_adaptive_minus_fixed,delta_mrr_adaptive_minus_fixed,delta_ndcg@k_adaptive_minus_fixed
awgn_10db,fixed_fusion_a0.00,204,-59.484080569341316,0.20122865493559208,0.23736308081327614,0.25651844070961694,0.021953254033365108,0.4640522875816993,0.4876302944835911
awgn_10db,fixed_fusion_a0.30,204,-21.17431636777014,0.10352739978038478,0.14826035503427656,0.13571428571428573,0.010460087646513046,0.2151143790849673,0.23714688529207634
awgn_10db,fixed_fusion_a0.50,204,-2.5796403086726682,0.004001686974417875,0.016083918299875644,0.013087457205104265,0.0005751442346804225,0.015522875816993466,0.014475374972606845
awgn_10db,fixed_fusion_a0.70,204,0.9561052673059126,0.00013023323788736207,-0.006023900779859914,-0.0018518518518518513,4.0147098970628206e-07,0.0,-0.0006067331168487037
awgn_10db,fixed_fusion_a1.00,204,3.648117342435955,-0.00361388852828507,-0.0004887684251365847,0.00023342670401494038,-0.0002860660376897715,-0.012418300653594772,-0.005908518550347011
awgn_20db,fixed_fusion_a0.00,204,-15.083474790463285,0.15201606978609583,0.11751307744783983,0.26163826641767784,0.021240229650521088,0.43954248366013066,0.4732200137890972
awgn_20db,fixed_fusion_a0.30,204,-12.679340839423697,0.0866895628807255,0.1297782248766752,0.1217164643635232,0.009704424919242024,0.20040849673202615,0.21931684587083963
awgn_20db,fixed_fusion_a0.50,204,0.5997715663637332,-0.001609929926395624,-5.474822994155697e-06,-0.000544662309368192,0.0002667303209677135,0.003676470588235294,0.005306850648670646
awgn_20db,fixed_fusion_a0.70,204,3.6638667305765145,-0.002798722811201925,-0.012129077356329662,-0.0067538126361655765,-0.00017262175228682487,-0.0058823529411764705,-0.004309858320784785
awgn_20db,fixed_fusion_a1.00,204,7.0677050425272085,-0.006331475164966243,-0.011419516328811162,-0.004886399004046062,-0.00045828631898689015,-0.017320261437908498,-0.010392759355154385
awgn_5db,fixed_fusion_a0.00,204,-77.93926294265346,0.21707466280279783,0.2737584013400466,0.25115351696234034,0.0220456680723157,0.47205882352941175,0.4914301396801963
awgn_5db,fixed_fusion_a0.30,204,-21.501041817560353,0.103621531836295,0.14820113960359402,0.12879707438530966,0.011102110036381918,0.2177287581699346,0.24820155783557457
awgn_5db,fixed_fusion_a0.50,204,-3.198630893021282,0.00979554567616074,0.026924753765414595,0.012760659819483346,0.0007129908372954236,0.022222222222222223,0.01805067715068465
awgn_5db,fixed_fusion_a0.70,204,0.9312093472931441,-0.0033663925173359134,-0.004899552761646746,-0.0021786492374727667,9.16254352208173e-05,0.0,0.0019521862000408147
awgn_5db,fixed_fusion_a1.00,204,4.684475713378584,-0.009616776733529384,-0.009203971504408276,0.0005057578586990355,-0.00014949018987148286,-0.013888888888888888,-0.004754182232955774
mp3_128k,fixed_fusion_a0.00,204,-26.713417561092136,0.16968742046195803,0.1495598830494569,0.25096288515406145,0.021329371535385687,0.44959150326797387,0.47672430188298653
mp3_128k,fixed_fusion_a0.30,204,-16.181554738495233,0.08758279398305904,0.12521091170554907,0.11840569561157799,0.0086684641215012,0.18799019607843134,0.2008947051085248
mp3_128k,fixed_fusion_a0.50,204,-0.04550047448224384,0.0007664502548390664,8.11813877331394e-05,0.0014161220043572983,0.00035837149823448174,0.00392156862745098,0.006947601177571083
mp3_128k,fixed_fusion_a0.70,204,2.469734971024261,0.0028515635082466506,-0.007121987820931284,-0.0031590413943355117,0.0001811915119151421,-0.000980392156862745,0.004093385537423983
mp3_128k,fixed_fusion_a1.00,204,5.773421542136658,-0.0013208002444635785,-0.011390452824590724,-0.0037426081543728584,-0.00019075863103751423,-0.014869281045751635,-0.0041799739772978555
mp3_32k,fixed_fusion_a0.00,204,-29.47470378960753,0.16637159659063352,0.15505028277849459,0.25207944288826617,0.021014423842070754,0.44714052287581707,0.46908813902867535
mp3_32k,fixed_fusion_a0.30,204,-16.88374682091659,0.08338539091441909,0.12108484478463286,0.11963118580765641,0.008396896612118255,0.1875816993464052,0.19464729011856818
mp3_32k,fixed_fusion_a0.50,204,-2.6042116954280066,-0.0007770467948623295,0.007251607886487321,0.00457516339869281,8.680398885153352e-05,0.00392156862745098,0.0018279631280724601
mp3_32k,fixed_fusion_a0.70,204,-0.048582145379578695,0.000251382604323781,-4.978408569575484e-06,0.0,-0.00013209829386299978,-0.000980392156862745,-0.002305712170519401
mp3_32k,fixed_fusion_a1.00,204,3.220998226850018,-0.002412685522443764,-0.004272970116860895,-0.0005835667600373473,-0.0004598936067420338,-0.014869281045751635,-0.010341699674014984
mp3_64k,fixed_fusion_a0.00,204,-27.394665753983176,0.17026401488084353,0.15675704811263141,0.25341386554621825,0.02119963943337352,0.45138888888888895,0.47387901106890923
mp3_64k,fixed_fusion_a0.30,204,-16.070022901652994,0.08744699130181957,0.12281288344730604,0.11799719887955185,0.008706826559922205,0.1889705882352941,0.2008278102922415
mp3_64k,fixed_fusion_a0.50,204,-0.021480703473729088,0.00013799374402961452,7.532343548997798e-05,0.0014161220043572983,0.00017921104900806218,0.00392156862745098,0.003968262196370462
mp3_64k,fixed_fusion_a0.70,204,2.4673269969315013,0.0033031752799678616,-0.007181302161308732,-0.0031590413943355117,0.0001382197777669373,0.0,0.0030316031441641232
mp3_64k,fixed_fusion_a1.00,204,5.7778836067212325,-0.001120571077066148,-0.011449644132411847,-0.0037426081543728584,-0.0002771105491176989,-0.014869281045751635,-0.006394032492771047
reverb_rt60_0.6,fixed_fusion_a0.00,204,-31.440303090231456,0.1995224492659665,0.2113952486170443,0.2580979614067849,0.021473353960154255,0.445016339869281,0.4779720478378629
reverb_rt60_0.6,fixed_fusion_a0.30,204,-13.938855945985326,0.07880649498355427,0.11874522065422365,0.10263966697790225,0.007668033841245862,0.16111111111111115,0.1736211335975804
reverb_rt60_0.6,fixed_fusion_a0.50,204,-2.264138807393434,0.004352690663275533,0.014560512253149,0.004575163398692811,0.0001341650188296704,0.005718954248366014,0.003460048487910639
reverb_rt60_0.6,fixed_fusion_a0.70,204,1.0553011663886862,0.006081960959696937,0.004835421015354847,-0.001633986928104575,4.942834721425507e-05,0.0012254901960784314,0.0011247719204635228
reverb_rt60_0.6,fixed_fusion_a1.00,204,1.850831418970881,-0.004148663420691971,-0.00036386802718387667,0.004971988795518207,-0.0002791416118064214,-0.014869281045751635,-0.007089458800402888
reverb_rt60_1.0,fixed_fusion_a0.00,204,-25.374481570401603,0.19401153705192628,0.18840513817654608,0.24971016184251482,0.021472484676347246,0.4455065359477124,0.47786486326041183
reverb_rt60_1.0,fixed_fusion_a0.30,204,-11.57209234902751,0.08059587564310988,0.11529498422316256,0.10372899159663865,0.007714621249907717,0.16470588235294123,0.17563334886056178
reverb_rt60_1.0,fixed_fusion_a0.50,204,-0.7640146610225989,0.004800709457572203,0.008542045474379565,0.002723311546840959,0.00013251411008695298,0.005718954248366014,0.003708190419108418
reverb_rt60_1.0,fixed_fusion_a0.70,204,3.5397733607871653,-0.00027502590211499065,-0.010899458763823916,-0.0034858387799564265,-4.016602531783974e-05,-0.004656862745098039,-0.0010695472932369529
reverb_rt60_1.0,fixed_fusion_a1.00,204,4.1519081057753,-0.003310808175688915,-0.004057133706885407,0.002139744786803611,-0.00023663071168144768,-0.014869281045751635,-0.005605151991922659
truncate_30,fixed_fusion_a0.00,204,-56.46417374586427,0.231259111183833,0.2628835967641734,0.22294973544973537,0.021363318667776243,0.4549019607843137,0.47831785234164514
truncate_30,fixed_fusion_a0.30,204,-15.767150210764102,0.08045752016703524,0.11062526118504092,0.0923202614379085,0.006660757700176681,0.14812091503267977,0.1559723858469896
truncate_30,fixed_fusion_a0.50,204,-3.0652103290834045,0.018736757498900823,0.026113954722679425,0.010239651416122006,0.00017747984783422814,0.015931372549019607,0.0072372373517608415
truncate_30,fixed_fusion_a0.70,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truncate_30,fixed_fusion_a1.00,204,0.5324697828388544,-0.00036403986038593364,0.010495860625692318,0.005913476501711796,-0.0001062213725509888,-0.004084967320261436,-0.001194670634290472
truncate_50,fixed_fusion_a0.00,204,-21.595125712685764,0.17343064119250154,0.1646435079266838,0.26441798941798905,0.02210723538018191,0.46560457516339876,0.4922969434518563
truncate_50,fixed_fusion_a0.30,204,-10.008790265050806,0.06427300823658103,0.09198599974652712,0.09081076875194523,0.0055432213511455485,0.13120915032679742,0.13460849505738648
truncate_50,fixed_fusion_a0.50,204,-0.8740946218987636,0.005733606271539175,0.00495388138109664,0.004178338001867414,-4.457902190334841e-05,0.005718954248366014,0.001698079907036278
truncate_50,fixed_fusion_a0.70,204,0.548891181088176,-0.0015551211167233745,-0.001064089183467249,0.0003267973856209155,-8.635191808018464e-05,0.0,-0.0006509270446454343
truncate_50,fixed_fusion_a1.00,204,2.8271006153435074,-0.002822922425947484,0.004534735304784212,0.0029723000311235614,-5.757465027244504e-05,-0.006290849673202615,-0.0006607966955317898
