condition,method,n,alpha_mean,l2_mean,l2_std,acc_mean,recall_mean,cosine_mean,module_mean,recall@k_mean,mrr_mean,ndcg@k_mean
awgn_10db,adaptive_fusion,204,0.5499999999999982,65.15597955190943,90.13168397924771,0.6835670322697517,0.5769001454625763,0.6580535226526877,0.8023517740429501,0.025029598292018045,0.5723039215686274,0.552664808735042
awgn_10db,fixed_fusion_a0.00,204,0.0,124.6400601212507,107.0723160951503,0.4823383773341604,0.24090395770886044,0.42069044183941123,0.5458333333333328,0.003076344258652928,0.10825163398692808,0.06503451425145089
awgn_10db,fixed_fusion_a0.30,204,0.2999999999999989,86.33029591967956,91.59332687205949,0.580039632489367,0.412121970970684,0.509793167618411,0.6666374883286648,0.014569510645504985,0.3571895424836602,0.31551792344296564
awgn_10db,fixed_fusion_a0.50,204,0.5,67.73561986058208,90.86348454052775,0.679565345295334,0.5721672282424469,0.6419696043528118,0.7892643168378458,0.02445445405733762,0.556781045751634,0.5381894337624351
awgn_10db,fixed_fusion_a0.70,204,0.7000000000000006,64.19987428460351,90.7287601920298,0.6834367990318645,0.575865188218521,0.6640774234325476,0.804203625894802,0.025029196821028343,0.5723039215686274,0.5532715418518906
awgn_10db,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
awgn_20db,adaptive_fusion,204,0.5499999999999982,68.57556725200068,92.28969794089554,0.6808494456330705,0.5752829786332836,0.647122774749013,0.7972319483348892,0.024857378010720927,0.5674019607843137,0.5481805679302345
awgn_20db,fixed_fusion_a0.00,204,0.0,83.65904204246391,96.45418080282866,0.5288333758469755,0.25656134109435436,0.5296096973011732,0.5355936819172108,0.0036171483601998284,0.127859477124183,0.07496055414113742
awgn_20db,fixed_fusion_a0.30,204,0.2999999999999989,81.25490809142437,89.74645422990272,0.5941598827523451,0.4280073227568805,0.5173445498723377,0.6755154839713663,0.015152953091478889,0.36699346405228755,0.328863722059395
awgn_20db,fixed_fusion_a0.50,204,0.5,67.97579568563695,91.49990929528306,0.6824593755594662,0.5799042621752268,0.6471282495720071,0.7977766106442573,0.024590647689753213,0.5637254901960784,0.5428737172815639
awgn_20db,fixed_fusion_a0.70,204,0.7000000000000006,64.91170052142418,90.78240925905732,0.6836481684442726,0.5771513605800845,0.659251852105343,0.8039857609710547,0.025029999763007748,0.5732843137254902,0.5524904262510193
awgn_20db,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
awgn_5db,adaptive_fusion,204,0.6800000000000035,66.19233792285203,91.25196437074946,0.6775641440645077,0.5704749462917306,0.6493383195734159,0.8026241051976342,0.025166174139836333,0.5708333333333333,0.5538191450524331
awgn_5db,fixed_fusion_a0.00,204,0.0,144.1316008655054,105.83753477888872,0.46048948126171024,0.23241482509169073,0.3755799182333693,0.5514705882352937,0.0031205060675206196,0.09877450980392156,0.062389005372236746
awgn_5db,fixed_fusion_a0.30,204,0.2999999999999989,87.69337974041235,90.62606736075652,0.5739426122282127,0.4112712248950245,0.5011371799698218,0.673827030812325,0.01406406410345441,0.35310457516339866,0.30561758721685867
awgn_5db,fixed_fusion_a0.50,204,0.5,69.39096881587334,91.6144090481973,0.6677685983883467,0.5602295291437792,0.622413565808001,0.7898634453781509,0.024453183302540912,0.5486111111111112,0.5357684679017487
awgn_5db,fixed_fusion_a0.70,204,0.7000000000000006,65.26112857555891,90.93883250391899,0.6809305365818435,0.5747487138572088,0.6542378723350627,0.804802754435107,0.025074548704615514,0.5708333333333333,0.5518669588523925
awgn_5db,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
mp3_128k,adaptive_fusion,204,0.5499999999999982,67.28128375161013,91.48075286522518,0.6858601205535734,0.583055502149752,0.6471518382532333,0.7983757391845623,0.02512490569867031,0.5698529411764706,0.5543933533080911
mp3_128k,fixed_fusion_a0.00,204,0.0,93.99470131270222,96.40290092371556,0.5161727000916158,0.26578946550366955,0.4975919552037765,0.5474128540305007,0.0037955341632846056,0.1202614379084967,0.0776690514251045
mp3_128k,fixed_fusion_a0.30,204,0.2999999999999989,83.4628384901054,92.14069802862787,0.5982773265705141,0.4415262110438347,0.5219409265476843,0.6799700435729846,0.01645644157716909,0.38186274509803925,0.3534986481995665
mp3_128k,fixed_fusion_a0.50,204,0.5,67.32678422609237,91.3905006472278,0.6850936702987344,0.5814987154899114,0.6470706568655001,0.7969596171802049,0.024766534200435827,0.5659313725490196,0.5474457521305199
mp3_128k,fixed_fusion_a0.70,204,0.7000000000000006,64.81154878058587,90.47568266581276,0.6830085570453267,0.575233831856948,0.6542738260741648,0.8015347805788978,0.024943714186755162,0.5708333333333333,0.5502999677706671
mp3_128k,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
mp3_32k,adaptive_fusion,204,0.6500000000000025,64.72886043632349,90.5299614184159,0.684768235275593,0.5776798294624161,0.6542693209609631,0.8015347805788978,0.024855770722965787,0.5698529411764706,0.5482316276113739
mp3_32k,fixed_fusion_a0.00,204,0.0,94.20356422593095,96.64627790391269,0.5183966386849602,0.2677935877458692,0.49921903818246877,0.5494553376906314,0.0038413468808950143,0.12271241830065355,0.07914348858269837
mp3_32k,fixed_fusion_a0.30,204,0.2999999999999989,81.6126072572401,91.08254337166737,0.601382844361174,0.4425344884926116,0.5331844761763305,0.6819035947712417,0.016458874110847517,0.38227124183006544,0.3535843374928058
mp3_32k,fixed_fusion_a0.50,204,0.5,67.33307213175149,91.39687569246372,0.6855452820704554,0.5824416589389823,0.6470177130744758,0.7969596171802049,0.024768966734114252,0.5659313725490196,0.5464036644833016
mp3_32k,fixed_fusion_a0.70,204,0.7000000000000006,64.77744258170307,90.49854677042084,0.6845168526712693,0.5773914788280448,0.6542742993695329,0.8015347805788978,0.024987869016828784,0.5708333333333333,0.5505373397818933
mp3_32k,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
mp3_64k,adaptive_fusion,204,0.5499999999999982,67.2857458161947,91.47879692989007,0.6860603497209707,0.5831816784563951,0.6470926469454121,0.7983757391845623,0.02503855378059012,0.5698529411764706,0.552179294792618
mp3_64k,fixed_fusion_a0.00,204,0.0,94.68041157017781,96.71779177719041,0.5157963348401279,0.26424184645605053,0.4903355988327809,0.5449618736383438,0.0038389143472165855,0.11846405228758165,0.07830028372370858
mp3_64k,fixed_fusion_a0.30,204,0.2999999999999989,83.35576871784772,92.22235867805095,0.5986133584191511,0.44096452803729874,0.5242797634981063,0.6803785403050109,0.016331727220667905,0.3808823529411765,0.35135148450037645
mp3_64k,fixed_fusion_a0.50,204,0.5,67.30722651966843,91.40427656278716,0.685922355976941,0.582710379642752,0.647017323509922,0.7969596171802049,0.02485934273158206,0.5659313725490196,0.5482110325962475
mp3_64k,fixed_fusion_a0.70,204,0.7000000000000006,64.8184188192632,90.4710152685199,0.6827571744410029,0.5749454812225766,0.6542739491067211,0.8015347805788978,0.024900334002823182,0.5698529411764706,0.5491476916484538
mp3_64k,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
reverb_rt60_0.6,adaptive_fusion,204,0.6500000000000025,63.35869362844435,89.61315583441356,0.6830322573773452,0.576926895670251,0.6581784230506401,0.8070903361344534,0.025036522717901397,0.5698529411764706,0.551483868484986
reverb_rt60_0.6,fixed_fusion_a0.00,204,0.0,94.7989967186757,89.05555006534887,0.4835098081113789,0.2347626097689568,0.4467831744335956,0.5489923747276683,0.0035631687577471274,0.12483660130718952,0.07351182064712304
reverb_rt60_0.6,fixed_fusion_a0.30,204,0.2999999999999989,77.2975495744297,88.86757631909995,0.604225762393791,0.4496250360353055,0.5394332023964166,0.7044506691565513,0.017368488876655517,0.4087418300653595,0.3778627348874056
reverb_rt60_0.6,fixed_fusion_a0.50,204,0.5,65.6228324358378,89.82141231644007,0.6786795667140697,0.5727684072235029,0.6436179107974912,0.8025151727357606,0.024902357699071724,0.5641339869281046,0.5480238199970755
reverb_rt60_0.6,fixed_fusion_a0.70,204,0.7000000000000006,62.303392462055676,88.9345411246157,0.6769502964176483,0.569792505401317,0.6533430020352854,0.8087243230625578,0.024987094370687146,0.5686274509803921,0.5503590965645225
reverb_rt60_0.6,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
reverb_rt60_1.0,adaptive_fusion,204,0.5499999999999982,65.65977031524876,91.28649141200532,0.6838701126223484,0.5787235494121903,0.6544851573709388,0.8042580921257387,0.02507903361802637,0.5698529411764706,0.5529681752934663
reverb_rt60_1.0,fixed_fusion_a0.00,204,0.0,91.03425188565026,88.87292753777344,0.48985857557042223,0.23929665415594242,0.4660800191943923,0.5545479302832237,0.0036065489416791073,0.12434640522875813,0.07510331203305443
reverb_rt60_1.0,fixed_fusion_a0.30,204,0.2999999999999989,77.23186266427629,88.90938166890524,0.6032742369792384,0.44655423908907604,0.5391901731477762,0.7005291005291004,0.017364412368118635,0.4051470588235294,0.37733482643290445
reverb_rt60_1.0,fixed_fusion_a0.50,204,0.5,66.42378497627136,91.26796411660776,0.6790694031647762,0.5719182402336299,0.6459431118965591,0.8015347805788977,0.024946519507939417,0.5641339869281046,0.5492599848743579
reverb_rt60_1.0,fixed_fusion_a0.70,204,0.7000000000000006,62.11999695446162,89.0386365423238,0.6841451385244632,0.5762265234529821,0.6653846161347626,0.8077439309056952,0.02511919964334421,0.5745098039215687,0.5540377225867033
reverb_rt60_1.0,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
truncate_30,adaptive_fusion,204,0.7000000000000006,62.04033199231236,88.64463173051915,0.686816880937651,0.5820434274286104,0.6690381517035163,0.8080318238406469,0.02520944295715683,0.5806372549019608,0.5573786566510984
truncate_30,fixed_fusion_a0.00,204,0.0,118.50450573817666,88.74225135195955,0.45555776975381884,0.2645334212116221,0.4061545549393428,0.5850820883909119,0.003846124289380577,0.12573529411764703,0.07906080430945336
truncate_30,fixed_fusion_a0.30,204,0.2999999999999989,77.80748220307642,90.39844714247353,0.6063593607706156,0.46027610606277036,0.5584128905184754,0.7157115624027387,0.018548685256980144,0.432516339869281,0.4014062708041087
truncate_30,fixed_fusion_a0.50,204,0.5,65.10554232139576,89.30905227856707,0.6680801234387503,0.5601616085857095,0.6429241969808369,0.7977921724245252,0.025031963109322597,0.5647058823529412,0.5501414192993377
truncate_30,fixed_fusion_a0.70,204,0.7000000000000006,62.04033199231236,88.64463173051915,0.686816880937651,0.5820434274286104,0.6690381517035163,0.8080318238406469,0.02520944295715683,0.5806372549019608,0.5573786566510984
truncate_30,fixed_fusion_a1.00,204,1.0,61.507862209473494,89.31318572514745,0.6871809207980368,0.5793979582709616,0.658542291077824,0.8021183473389352,0.025315664329707825,0.5847222222222223,0.558573327285389
truncate_50,adaptive_fusion,204,0.5499999999999982,64.334962824817,89.98813206067997,0.6843579983720895,0.5799693602384666,0.6630770263826085,0.8050906473700589,0.02525808967943538,0.5784313725490197,0.557912530589857
truncate_50,fixed_fusion_a0.00,204,0.0,85.93008853750268,91.78398506501541,0.5109273571795884,0.2564886726881646,0.49843351845592426,0.5406726579520692,0.0031508542992534495,0.11282679738562088,0.06561558713800074
truncate_50,fixed_fusion_a0.30,204,0.2999999999999989,74.34375308986779,89.01369997797714,0.6200849901355084,0.475129050879452,0.5710910266360811,0.7142798786181137,0.019714868328289822,0.4472222222222223,0.42330403553247076
truncate_50,fixed_fusion_a0.50,204,0.5,65.20905744671576,90.05185020156448,0.6786243921005506,0.5698364172011118,0.6581231450015117,0.8009123093681914,0.02530266870133873,0.5727124183006537,0.5562144506828209
truncate_50,fixed_fusion_a0.70,204,0.7000000000000006,63.78607164372883,90.09172218962675,0.6859131194888127,0.5794684876728152,0.6641411155660755,0.8047638499844378,0.025344441597515564,0.5784313725490197,0.5585634576345025
