method,n,alpha_mean,l2_mean,acc_mean,recall_mean,cosine_mean,module_mean,recall@k_mean,mrr_mean,ndcg@k_mean
adaptive_fusion,2040,0.5979999999999879,65.46135334917118,0.6836746576826906,0.5784238313205631,0.6547807181642398,0.8024964985994446,0.02506554696173186,0.5718872549019608,0.5529212028449201
fixed_fusion_a0.00,2040,0.0,102.5577223018039,0.4961880418674755,0.2522786381425175,0.4630477916616247,0.5504022720199203,0.0035456490365829716,0.11840686274509815,0.07307884216239692
fixed_fusion_a0.30,2040,0.29999999999999927,81.03904457483596,0.5980360007099935,0.4408010178262944,0.5315807356381421,0.6893203392468122,0.016603002557916562,0.39159313725490297,0.35883415705688537
fixed_fusion_a0.50,2040,0.5,66.94306844198249,0.6790808113007435,0.5733636446877022,0.6443225477859088,0.7970537659508303,0.02480766377334336,0.5632598039215686,0.5462531743009406
fixed_fusion_a0.70,2040,0.7000000000000263,63.9029906615696,0.6832123523584149,0.5762866998519073,0.6592296107862978,0.8046860410831043,0.025062584106375952,0.573014705882353,0.552795285959314
fixed_fusion_a1.00,2040,1.0,61.50786220947338,0.6871809207980347,0.5793979582709596,0.6585422910778232,0.8021183473389399,0.025315664329707513,0.5847222222222223,0.558573327285389
